gspc_open,gspc_close,xin9_open,xin9_close,pearson_coef,p-value
1,8,11,0,0.32628616828001505,2.6655356083320826e-11
1,8,12,0,0.28178298163737,1.1103053018788169e-08
1,8,13,0,0.25757187595002096,1.950822220546357e-07
1,8,14,0,0.22122386572202563,8.619024414941638e-06
1,8,15,0,0.1864650899389444,0.00018667656592131753
1,8,16,0,0.1375652905264088,0.009455337454476067
1,8,17,0,0.18613190545837804,0.030658858893137766
1,8,20,0,0.24024929797612646,0.006514976080900295
1,8,21,0,0.16293400426099325,0.0011220128513569469
1,8,22,0,0.09233999556194589,0.06606409234985655
1,8,23,0,0.12121422596533815,0.015671502463427914
1,9,1,0,0.46636940413914013,8.865357495673561e-23
1,9,2,0,0.4789281208646038,4.250524687561689e-24
1,9,3,0,0.49113822107031985,1.9612006085188517e-25
1,9,4,0,0.4952808554591079,5.824931939894165e-26
1,9,5,0,0.48564767207454834,6.933239302706922e-25
1,9,6,0,0.47827412046283885,4.3808011814410784e-24
1,9,7,0,0.48137812391017704,2.027148741796084e-24
1,9,8,0,0.48150480862040895,1.9640568151201722e-24
1,9,9,0,0.4742173884910123,1.1852966321766964e-23
1,9,10,0,0.43495365325467134,9.385103808323121e-20
1,9,11,0,0.37562509310274983,9.471777426390295e-15
1,9,12,0,0.34136651867621987,2.722627782521771e-12
1,9,13,0,0.31954792378575847,7.098662036907671e-11
1,9,14,0,0.28392254896079683,8.50147214700497e-09
1,9,15,0,0.24482235670966562,7.892143341902302e-07
1,9,16,0,0.20711841970263387,8.446709559814345e-05
1,9,17,0,0.2929936935120918,0.0005634468633043996
1,9,20,0,0.22756053888649058,0.010082977772858288
1,9,21,0,0.17672527908822291,0.00040315540017354966
1,9,22,0,0.12054151600781109,0.01626263171049987
1,9,23,0,0.16254971215140118,0.0011531998460295831
1,10,1,0,0.4543924731637667,1.4324379252915272e-21
1,10,2,0,0.4657423744752969,1.0283640221886444e-22
1,10,3,0,0.47180739704972363,2.4161921594104016e-23
1,10,4,0,0.47885084517410376,3.798657553943751e-24
1,10,5,0,0.4740431707744446,1.2366944401991969e-23
1,10,6,0,0.4679247415093739,5.408175572167475e-23
1,10,7,0,0.47082131734993854,2.699579824759017e-23
1,10,8,0,0.46165530844557295,2.379120224082989e-22
1,10,9,0,0.4690223149044916,4.1595624655131825e-23
1,10,10,0,0.4838628147299506,1.0877252712327294e-24
1,10,11,0,0.43818114026540345,4.684688182927361e-20
1,10,12,0,0.4020096443907503,7.482588982925005e-17
1,10,13,0,0.37138911464437846,1.9797564031940554e-14
1,10,14,0,0.33353130052833646,9.047454488607863e-12
1,10,15,0,0.2965808288894153,1.672098810948129e-09
1,10,16,0,0.26171598609041546,5.698882586386149e-07
1,10,17,0,0.34360562262231814,4.5006227760348344e-05
1,10,20,0,0.26081429245102233,0.0030604198813267234
1,10,21,0,0.21627379993879717,1.3789040820399593e-05
1,10,22,0,0.1322091787727035,0.008351218189653441
1,10,23,0,0.17489378082681054,0.0004639254313629718
1,11,1,0,0.4237217949761538,1.0996481913498192e-18
1,11,2,0,0.428396973575632,4.1704030420910635e-19
1,11,3,0,0.43799629459510275,5.430508355070122e-20
1,11,4,0,0.4490395512455226,4.280397922274158e-21
1,11,5,0,0.41748307013147923,3.555584979470166e-18
1,11,6,0,0.40432767689076143,4.788397418986752e-17
1,11,7,0,0.4076232699943638,2.5232191630612995e-17
1,11,8,0,0.38121395503909616,3.5218876993815478e-15
1,11,9,0,0.3938296694324853,3.516859425577449e-16
1,11,10,0,0.4273029087252676,4.731365157080908e-19
1,11,11,0,0.44777058582563617,5.686714744928644e-21
1,11,12,0,0.41864735444053,2.8089887328582485e-18
1,11,13,0,0.3756669003102106,9.402601955313833e-15
