"Date","Price","Open","High","Low","Change %"
"Oct 21, 2020","6.6511","6.6762","6.6762","6.6408","-0.38%"
"Oct 20, 2020","6.6767","6.6784","6.6949","6.6766","-0.08%"
"Oct 19, 2020","6.6822","6.6981","6.7050","6.6822","-0.23%"
"Oct 16, 2020","6.6976","6.7192","6.7265","6.6944","-0.41%"
"Oct 15, 2020","6.7254","6.7171","6.7367","6.7154","0.15%"
"Oct 14, 2020","6.7150","6.7466","6.7488","6.7102","-0.47%"
"Oct 13, 2020","6.7466","6.7569","6.7618","6.7321","0.01%"
"Oct 12, 2020","6.7458","6.6940","6.7547","6.6940","0.76%"
"Oct 09, 2020","6.6947","6.7253","6.7307","6.6943","-1.42%"
"Oct 08, 2020","6.7908","6.7908","6.7908","6.7908","0.00%"
"Oct 07, 2020","6.7908","6.7908","6.7908","6.7908","0.00%"
"Oct 06, 2020","6.7908","6.7908","6.7908","6.7908","0.00%"
"Oct 05, 2020","6.7908","6.7908","6.7908","6.7908","0.00%"
"Oct 02, 2020","6.7908","6.7908","6.7908","6.7908","0.00%"
"Oct 01, 2020","6.7908","6.7906","6.7908","6.7906","0.00%"
"Sep 30, 2020","6.7908","6.8122","6.8179","6.7862","-0.38%"
"Sep 29, 2020","6.8165","6.8228","6.8285","6.8102","0.07%"
"Sep 28, 2020","6.8118","6.8157","6.8286","6.8102","-0.18%"
"Sep 25, 2020","6.8238","6.8106","6.8342","6.8106","-0.07%"
"Sep 24, 2020","6.8287","6.8102","6.8338","6.8101","0.27%"
"Sep 23, 2020","6.8104","6.7934","6.8135","6.7862","0.45%"
"Sep 22, 2020","6.7799","6.8063","6.8063","6.7729","-0.37%"
"Sep 21, 2020","6.8052","6.7625","6.8059","6.7574","0.53%"
"Sep 18, 2020","6.7693","6.7521","6.7778","6.7521","0.05%"
"Sep 17, 2020","6.7657","6.7528","6.7826","6.7528","0.16%"
"Sep 16, 2020","6.7548","6.7784","6.7792","6.7548","-0.40%"
"Sep 15, 2020","6.7818","6.8096","6.8096","6.7695","-0.42%"
"Sep 14, 2020","6.8105","6.8355","6.8355","6.8105","-0.35%"
"Sep 11, 2020","6.8344","6.8364","6.8404","6.8324","0.00%"
"Sep 10, 2020","6.8344","6.8327","6.8432","6.8259","0.02%"
"Sep 09, 2020","6.8333","6.8460","6.8584","6.8323","-0.19%"
"Sep 08, 2020","6.8464","6.8330","6.8539","6.8300","0.23%"
"Sep 07, 2020","6.8305","6.8293","6.8345","6.8265","-0.18%"
"Sep 04, 2020","6.8425","6.8414","6.8481","6.8346","-0.06%"
"Sep 03, 2020","6.8468","6.8406","6.8508","6.8268","0.12%"
"Sep 02, 2020","6.8383","6.8278","6.8393","6.8220","0.15%"
"Sep 01, 2020","6.8282","6.8419","6.8471","6.8115","-0.29%"
"Aug 31, 2020","6.8484","6.8614","6.8631","6.8417","-0.25%"
"Aug 28, 2020","6.8654","6.8934","6.8934","6.8611","-0.41%"
"Aug 27, 2020","6.8937","6.8880","6.8963","6.8745","0.11%"
"Aug 26, 2020","6.8860","6.9065","6.9067","6.8860","-0.39%"
"Aug 25, 2020","6.9127","6.9097","6.9162","6.9074","-0.10%"
"Aug 24, 2020","6.9196","6.9140","6.9221","6.9114","0.00%"
"Aug 21, 2020","6.9195","6.9101","6.9260","6.9001","0.05%"
"Aug 20, 2020","6.9158","6.9207","6.9299","6.9136","-0.07%"
"Aug 19, 2020","6.9207","6.9173","6.9245","6.9047","-0.02%"
"Aug 18, 2020","6.9218","6.9318","6.9349","6.9094","-0.16%"
"Aug 17, 2020","6.9329","6.9500","6.9500","6.9295","-0.25%"
"Aug 14, 2020","6.9504","6.9454","6.9533","6.9390","0.08%"
"Aug 13, 2020","6.9451","6.9320","6.9480","6.9306","0.12%"
"Aug 12, 2020","6.9371","6.9478","6.9578","6.9327","-0.13%"
"Aug 11, 2020","6.9463","6.9653","6.9653","6.9426","-0.22%"
"Aug 10, 2020","6.9619","6.9651","6.9728","6.9564","-0.09%"
"Aug 07, 2020","6.9680","6.9559","6.9743","6.9525","0.21%"
"Aug 06, 2020","6.9535","6.9366","6.9538","6.9349","0.24%"
"Aug 05, 2020","6.9367","6.9645","6.9680","6.9350","-0.53%"
"Aug 04, 2020","6.9734","6.9833","6.9878","6.9688","-0.11%"
"Aug 03, 2020","6.9809","6.9796","6.9856","6.9681","0.08%"
"Jul 31, 2020","6.9752","6.9925","6.9927","6.9702","-0.48%"
"Jul 30, 2020","7.0088","6.9958","7.0089","6.9925","0.10%"
"Jul 29, 2020","7.0018","7.0001","7.0054","6.9919","0.01%"
"Jul 28, 2020","7.0008","6.9885","7.0106","6.9877","0.06%"
"Jul 27, 2020","6.9964","7.0005","7.0065","6.9957","-0.29%"
"Jul 24, 2020","7.0169","7.0063","7.0261","7.0031","0.18%"
"Jul 23, 2020","7.0040","7.0083","7.0141","6.9896","0.05%"
"Jul 22, 2020","7.0002","6.9754","7.0123","6.9646","0.28%"
"Jul 21, 2020","6.9808","6.9837","6.9961","6.9791","-0.04%"
"Jul 20, 2020","6.9838","6.9911","7.0018","6.9818","-0.12%"
"Jul 17, 2020","6.9924","6.9939","7.0053","6.9912","0.04%"
"Jul 16, 2020","6.9893","6.9842","7.0028","6.9835","0.01%"
"Jul 15, 2020","6.9889","6.9929","7.0047","6.9818","-0.27%"
"Jul 14, 2020","7.0075","7.0128","7.0207","7.0022","0.14%"
"Jul 13, 2020","6.9974","7.0013","7.0061","6.9920","-0.06%"
"Jul 10, 2020","7.0018","6.9995","7.0148","6.9992","0.11%"
"Jul 09, 2020","6.9942","6.9973","7.0019","6.9794","-0.15%"
"Jul 08, 2020","7.0046","7.0222","7.0241","7.0004","-0.13%"
"Jul 07, 2020","7.0140","7.0070","7.0268","7.0028","-0.07%"
"Jul 06, 2020","7.0188","7.0653","7.0662","7.0152","-0.67%"
"Jul 03, 2020","7.0663","7.0629","7.0702","7.0595","-0.01%"
"Jul 02, 2020","7.0670","7.0610","7.0711","7.0601","-0.06%"
"Jul 01, 2020","7.0712","7.0678","7.0725","7.0548","0.08%"
"Jun 30, 2020","7.0655","7.0729","7.0783","7.0594","-0.22%"
"Jun 29, 2020","7.0811","7.0836","7.0836","7.0723","0.04%"
"Jun 26, 2020","7.0782","7.0782","7.0782","7.0782","0.00%"
"Jun 25, 2020","7.0782","7.0782","7.0782","7.0782","0.00%"
"Jun 24, 2020","7.0782","7.0572","7.0786","7.0510","0.27%"
"Jun 23, 2020","7.0590","7.0693","7.0896","7.0569","-0.13%"
"Jun 22, 2020","7.0684","7.0806","7.0819","7.0659","-0.06%"
"Jun 19, 2020","7.0723","7.0896","7.0928","7.0715","-0.24%"
"Jun 18, 2020","7.0894","7.0935","7.0954","7.0717","0.06%"
"Jun 17, 2020","7.0855","7.0882","7.0980","7.0840","-0.01%"
"Jun 16, 2020","7.0865","7.0761","7.0872","7.0685","-0.06%"
"Jun 15, 2020","7.0909","7.0837","7.1002","7.0837","0.11%"
"Jun 12, 2020","7.0834","7.0828","7.0909","7.0729","0.26%"
"Jun 11, 2020","7.0650","7.0587","7.0758","7.0551","0.06%"
"Jun 10, 2020","7.0610","7.0776","7.0850","7.0564","-0.23%"
"Jun 09, 2020","7.0773","7.0705","7.0914","7.0684","0.08%"
"Jun 08, 2020","7.0716","7.0830","7.0919","7.0690","-0.15%"
"Jun 05, 2020","7.0820","7.1065","7.1156","7.0800","-0.40%"
"Jun 04, 2020","7.1103","7.1205","7.1327","7.1058","-0.08%"
"Jun 03, 2020","7.1158","7.0939","7.1299","7.0939","0.20%"
"Jun 02, 2020","7.1014","7.1160","7.1252","7.0973","-0.37%"
"Jun 01, 2020","7.1278","7.1178","7.1426","7.1126","-0.13%"
"May 29, 2020","7.1372","7.1595","7.1595","7.1321","-0.13%"
"May 28, 2020","7.1463","7.1697","7.1697","7.1446","-0.32%"
"May 27, 2020","7.1696","7.1345","7.1781","7.1345","0.48%"
"May 26, 2020","7.1350","7.1335","7.1391","7.1258","-0.03%"
"May 25, 2020","7.1368","7.1321","7.1435","7.1316","0.09%"
"May 22, 2020","7.1304","7.1170","7.1471","7.1158","0.21%"
"May 21, 2020","7.1153","7.0943","7.1165","7.0926","0.31%"
"May 20, 2020","7.0935","7.0992","7.1098","7.0892","-0.08%"
"May 19, 2020","7.0992","7.1014","7.1136","7.0945","-0.15%"
"May 18, 2020","7.1097","7.1059","7.1203","7.1014","0.11%"
"May 15, 2020","7.1021","7.0957","7.1071","7.0941","0.09%"
"May 14, 2020","7.0959","7.0964","7.1049","7.0945","0.05%"
"May 13, 2020","7.0922","7.0827","7.0971","7.0827","0.13%"
"May 12, 2020","7.0829","7.0946","7.1006","7.0793","-0.23%"
"May 11, 2020","7.0992","7.0768","7.1006","7.0719","0.35%"
"May 08, 2020","7.0742","7.0750","7.0811","7.0689","-0.14%"
"May 07, 2020","7.0843","7.1060","7.1090","7.0842","-0.29%"
"May 06, 2020","7.1046","7.0617","7.1065","7.0617","0.60%"
"May 05, 2020","7.0622","7.0622","7.0622","7.0622","0.00%"
"May 04, 2020","7.0622","7.0622","7.0622","7.0622","0.00%"
"May 01, 2020","7.0622","7.0622","7.0622","7.0622","0.00%"
"Apr 30, 2020","7.0622","7.0674","7.0692","7.0478","-0.21%"
"Apr 29, 2020","7.0768","7.0767","7.0822","7.0705","-0.04%"
"Apr 28, 2020","7.0796","7.0842","7.0920","7.0720","-0.10%"
"Apr 27, 2020","7.0865","7.0763","7.0938","7.0740","0.06%"
"Apr 24, 2020","7.0819","7.0805","7.0876","7.0725","0.22%"
"Apr 23, 2020","7.0667","7.0833","7.0877","7.0628","-0.25%"
"Apr 22, 2020","7.0842","7.0878","7.0920","7.0773","-0.11%"
"Apr 21, 2020","7.0920","7.0812","7.0988","7.0793","0.26%"
"Apr 20, 2020","7.0736","7.0808","7.0835","7.0690","0.01%"
"Apr 17, 2020","7.0731","7.0689","7.0840","7.0660","-0.09%"
"Apr 16, 2020","7.0798","7.0725","7.0847","7.0702","0.17%"
"Apr 15, 2020","7.0677","7.0473","7.0693","7.0456","0.27%"
"Apr 14, 2020","7.0486","7.0518","7.0661","7.0421","-0.06%"
"Apr 13, 2020","7.0526","7.0366","7.0586","7.0366","0.24%"
"Apr 10, 2020","7.0360","7.0488","7.0505","7.0293","-0.10%"
"Apr 09, 2020","7.0432","7.0627","7.0738","7.0313","-0.32%"
"Apr 08, 2020","7.0660","7.0649","7.0763","7.0593","0.29%"
"Apr 07, 2020","7.0458","7.0880","7.0880","7.0458","-0.66%"
"Apr 06, 2020","7.0927","7.0927","7.0927","7.0927","0.00%"
"Apr 03, 2020","7.0927","7.0876","7.0998","7.0805","0.12%"
"Apr 02, 2020","7.0840","7.1169","7.1288","7.0839","-0.23%"
"Apr 01, 2020","7.1001","7.0812","7.1076","7.0795","0.25%"
"Mar 31, 2020","7.0825","7.0946","7.1015","7.0802","-0.25%"
"Mar 30, 2020","7.1003","7.0955","7.1043","7.0870","0.06%"
"Mar 27, 2020","7.0962","7.0626","7.0988","7.0550","0.32%"
"Mar 26, 2020","7.0735","7.0935","7.1226","7.0683","-0.58%"
"Mar 25, 2020","7.1148","7.0655","7.1202","7.0526","0.73%"
"Mar 24, 2020","7.0631","7.0869","7.0931","7.0587","-0.42%"
"Mar 23, 2020","7.0926","7.0998","7.1242","7.0791","-0.05%"
"Mar 20, 2020","7.0960","7.1059","7.1061","7.0497","-0.17%"
"Mar 19, 2020","7.1082","7.0483","7.1263","7.0483","0.86%"
"Mar 18, 2020","7.0474","7.0216","7.0481","7.0039","0.56%"
"Mar 17, 2020","7.0079","6.9951","7.0249","6.9869","0.21%"
"Mar 16, 2020","6.9933","7.0016","7.0251","6.9895","-0.22%"
"Mar 13, 2020","7.0086","7.0299","7.0379","6.9773","-0.30%"
"Mar 12, 2020","7.0295","6.9611","7.0373","6.9611","0.99%"
"Mar 11, 2020","6.9605","6.9584","6.9656","6.9442","0.06%"
"Mar 10, 2020","6.9564","6.9400","6.9612","6.9284","0.14%"
"Mar 09, 2020","6.9466","6.9108","6.9550","6.9108","0.21%"
"Mar 06, 2020","6.9321","6.9441","6.9601","6.9261","-0.07%"
"Mar 05, 2020","6.9373","6.9378","6.9444","6.9295","0.16%"
"Mar 04, 2020","6.9262","6.9422","6.9522","6.9215","-0.51%"
"Mar 03, 2020","6.9620","6.9605","6.9873","6.9595","0.01%"
"Mar 02, 2020","6.9610","6.9740","6.9778","6.9516","-0.44%"
"Feb 28, 2020","6.9919","7.0032","7.0133","6.9796","-0.18%"
"Feb 27, 2020","7.0045","7.0154","7.0222","7.0008","-0.26%"
"Feb 26, 2020","7.0225","7.0126","7.0260","7.0126","0.13%"
"Feb 25, 2020","7.0135","7.0110","7.0197","7.0080","-0.23%"
"Feb 24, 2020","7.0294","7.0385","7.0406","7.0237","0.03%"
"Feb 21, 2020","7.0271","7.0295","7.0442","7.0263","0.06%"
"Feb 20, 2020","7.0229","7.0074","7.0261","7.0027","0.35%"
"Feb 19, 2020","6.9982","7.0058","7.0133","6.9893","0.02%"
"Feb 18, 2020","6.9971","6.9854","7.0088","6.9854","0.23%"
"Feb 17, 2020","6.9813","6.9806","6.9832","6.9718","-0.08%"
"Feb 14, 2020","6.9869","6.9734","6.9879","6.9734","0.14%"
"Feb 13, 2020","6.9770","6.9736","6.9862","6.9724","0.07%"
"Feb 12, 2020","6.9719","6.9672","6.9771","6.9592","0.08%"
"Feb 11, 2020","6.9660","6.9834","6.9834","6.9595","-0.26%"
"Feb 10, 2020","6.9844","7.0001","7.0038","6.9772","-0.24%"
"Feb 07, 2020","7.0015","6.9776","7.0020","6.9759","0.44%"
"Feb 06, 2020","6.9708","6.9749","6.9828","6.9564","-0.04%"
"Feb 05, 2020","6.9738","6.9978","7.0088","6.9668","-0.35%"
"Feb 04, 2020","6.9985","7.0213","7.0213","6.9871","-0.33%"
"Feb 03, 2020","7.0215","6.9371","7.0256","6.9371","1.22%"
"Jan 31, 2020","6.9367","6.9367","6.9367","6.9367","0.00%"
"Jan 30, 2020","6.9367","6.9367","6.9367","6.9367","0.00%"
"Jan 29, 2020","6.9367","6.9367","6.9367","6.9367","0.00%"
"Jan 28, 2020","6.9367","6.9367","6.9367","6.9367","0.00%"
"Jan 27, 2020","6.9367","6.9367","6.9367","6.9367","0.00%"
"Jan 24, 2020","6.9367","6.9367","6.9367","6.9367","0.00%"
"Jan 23, 2020","6.9367","6.9061","6.9367","6.9061","0.44%"
"Jan 22, 2020","6.9066","6.9104","6.9196","6.8986","0.01%"
"Jan 21, 2020","6.9058","6.8773","6.9096","6.8765","0.57%"
"Jan 20, 2020","6.8668","6.8595","6.8670","6.8404","0.10%"
"Jan 17, 2020","6.8598","6.8756","6.8792","6.8525","-0.28%"
"Jan 16, 2020","6.8789","6.8849","6.8939","6.8762","-0.17%"
"Jan 15, 2020","6.8909","6.8938","6.8989","6.8837","0.10%"
"Jan 14, 2020","6.8841","6.8759","6.8895","6.8653","-0.14%"
"Jan 13, 2020","6.8938","6.9122","6.9156","6.8849","-0.37%"
"Jan 10, 2020","6.9192","6.9318","6.9398","6.9171","-0.18%"
"Jan 09, 2020","6.9318","6.9319","6.9362","6.9210","-0.21%"
"Jan 08, 2020","6.9462","6.9543","6.9556","6.9373","0.01%"
"Jan 07, 2020","6.9452","6.9679","6.9711","6.9290","-0.44%"
"Jan 06, 2020","6.9760","6.9686","6.9797","6.9683","0.15%"
"Jan 03, 2020","6.9655","6.9616","6.9759","6.9616","0.02%"
"Jan 02, 2020","6.9643","6.9597","6.9741","6.9568","0.02%"
"Jan 01, 2020","6.9632","6.9632","6.9657","6.9632","0.00%"
"Dec 31, 2019","6.9632","6.9832","6.9870","6.9556","-0.34%"
"Dec 30, 2019","6.9867","6.9958","6.9958","6.9783","-0.13%"
"Dec 27, 2019","6.9958","6.9932","7.0015","6.9916","-0.01%"
"Dec 26, 2019","6.9965","6.9891","7.0069","6.9880","0.10%"
"Dec 25, 2019","6.9894","7.0064","7.0064","6.9788","-0.26%"
"Dec 24, 2019","7.0075","7.0131","7.0151","7.0031","-0.08%"
"Dec 23, 2019","7.0128","7.0073","7.0142","7.0062","0.09%"
"Dec 20, 2019","7.0068","7.0101","7.0160","7.0030","-0.05%"
"Dec 19, 2019","7.0104","7.0006","7.0106","6.9971","0.08%"
"Dec 18, 2019","7.0050","7.0019","7.0129","6.9958","0.11%"
"Dec 17, 2019","6.9972","6.9954","7.0030","6.9910","0.05%"
"Dec 16, 2019","6.9935","6.9996","7.0084","6.9930","0.06%"
"Dec 13, 2019","6.9895","6.9641","7.0022","6.9636","0.07%"
"Dec 12, 2019","6.9849","7.0339","7.0408","6.9839","-0.77%"
"Dec 11, 2019","7.0388","7.0354","7.0408","7.0335","0.07%"
"Dec 10, 2019","7.0342","7.0392","7.0426","7.0313","-0.07%"
"Dec 09, 2019","7.0393","7.0334","7.0434","7.0297","0.06%"
"Dec 06, 2019","7.0350","7.0414","7.0498","7.0264","-0.14%"
"Dec 05, 2019","7.0448","7.0503","7.0569","7.0352","-0.07%"
"Dec 04, 2019","7.0499","7.0619","7.0744","7.0469","-0.16%"
"Dec 03, 2019","7.0613","7.0407","7.0614","7.0362","0.31%"
"Dec 02, 2019","7.0393","7.0268","7.0459","7.0266","0.10%"
"Nov 29, 2019","7.0324","7.0326","7.0370","7.0191","-0.04%"
"Nov 28, 2019","7.0353","7.0295","7.0357","7.0253","0.09%"
"Nov 27, 2019","7.0290","7.0245","7.0319","7.0177","-0.06%"
"Nov 26, 2019","7.0335","7.0289","7.0430","7.0259","-0.04%"
"Nov 25, 2019","7.0364","7.0404","7.0404","7.0314","-0.05%"
"Nov 22, 2019","7.0400","7.0262","7.0428","7.0249","0.15%"
"Nov 21, 2019","7.0293","7.0351","7.0452","7.0259","-0.09%"
"Nov 20, 2019","7.0359","7.0317","7.0394","7.0279","0.12%"
"Nov 19, 2019","7.0276","7.0259","7.0303","7.0202","0.02%"
"Nov 18, 2019","7.0260","7.0090","7.0268","7.0090","0.25%"
"Nov 15, 2019","7.0083","7.0201","7.0201","6.9992","-0.18%"
"Nov 14, 2019","7.0208","7.0240","7.0252","7.0143","-0.04%"
"Nov 13, 2019","7.0235","7.0076","7.0272","7.0076","0.22%"
"Nov 12, 2019","7.0078","7.0111","7.0111","6.9962","-0.04%"
"Nov 11, 2019","7.0106","6.9962","7.0122","6.9917","0.21%"
"Nov 08, 2019","6.9961","6.9690","6.9968","6.9676","0.25%"
"Nov 07, 2019","6.9784","6.9985","7.0208","6.9689","-0.28%"
"Nov 06, 2019","6.9982","6.9970","7.0052","6.9909","-0.16%"
"Nov 05, 2019","7.0097","7.0296","7.0316","6.9891","-0.29%"
"Nov 04, 2019","7.0304","7.0328","7.0343","7.0225","-0.10%"
"Nov 01, 2019","7.0375","7.0387","7.0495","7.0347","-0.03%"
"Oct 31, 2019","7.0395","7.0447","7.0507","7.0324","-0.22%"
"Oct 30, 2019","7.0553","7.0652","7.0682","7.0540","-0.15%"
"Oct 29, 2019","7.0657","7.0672","7.0672","7.0526","-0.03%"
"Oct 28, 2019","7.0678","7.0655","7.0693","7.0525","0.03%"
"Oct 25, 2019","7.0654","7.0696","7.0765","7.0624","-0.05%"
"Oct 24, 2019","7.0690","7.0665","7.0733","7.0560","0.05%"
"Oct 23, 2019","7.0656","7.0786","7.0895","7.0655","-0.16%"
"Oct 22, 2019","7.0769","7.0756","7.0840","7.0705","0.01%"
"Oct 21, 2019","7.0762","7.0819","7.0819","7.0662","-0.08%"
"Oct 18, 2019","7.0817","7.0742","7.0885","7.0668","0.06%"
"Oct 17, 2019","7.0774","7.0959","7.1016","7.0643","-0.23%"
"Oct 16, 2019","7.0936","7.0966","7.1045","7.0897","0.17%"
"Oct 15, 2019","7.0817","7.0663","7.0833","7.0629","0.20%"
"Oct 14, 2019","7.0675","7.0908","7.0910","7.0505","-0.29%"
"Oct 11, 2019","7.0880","7.1155","7.1155","7.0872","-0.40%"
"Oct 10, 2019","7.1163","7.1313","7.1313","7.1023","-0.23%"
"Oct 09, 2019","7.1324","7.1430","7.1523","7.1190","-0.17%"
"Oct 08, 2019","7.1444","7.1324","7.1503","7.1214","-0.06%"
"Oct 07, 2019","7.1484","7.1484","7.1484","7.1484","0.00%"
"Oct 04, 2019","7.1484","7.1484","7.1484","7.1484","0.00%"
"Oct 03, 2019","7.1484","7.1484","7.1484","7.1484","0.00%"
"Oct 02, 2019","7.1484","7.1484","7.1484","7.1484","0.00%"
"Oct 01, 2019","7.1484","7.1484","7.1484","7.1484","0.00%"
"Sep 30, 2019","7.1484","7.1303","7.1484","7.1174","0.36%"
"Sep 27, 2019","7.1227","7.1316","7.1388","7.1190","-0.14%"
"Sep 26, 2019","7.1326","7.1290","7.1375","7.1243","0.01%"
"Sep 25, 2019","7.1318","7.1153","7.1343","7.1075","0.22%"
"Sep 24, 2019","7.1164","7.1184","7.1235","7.1039","-0.03%"
"Sep 23, 2019","7.1185","7.0908","7.1300","7.0908","0.38%"
"Sep 20, 2019","7.0916","7.0958","7.0980","7.0815","-0.07%"
"Sep 19, 2019","7.0966","7.0852","7.1052","7.0852","0.15%"
"Sep 18, 2019","7.0860","7.0900","7.0927","7.0839","-0.08%"
"Sep 17, 2019","7.0918","7.0673","7.0983","7.0673","0.35%"
"Sep 16, 2019","7.0674","7.0789","7.0789","7.0627","-0.17%"
"Sep 13, 2019","7.0794","7.0814","7.0814","7.0794","0.00%"
"Sep 12, 2019","7.0793","7.0977","7.1030","7.0641","-0.53%"
"Sep 11, 2019","7.1167","7.1174","7.1237","7.1050","0.06%"
"Sep 10, 2019","7.1127","7.1211","7.1212","7.0976","-0.13%"
"Sep 09, 2019","7.1220","7.1146","7.1356","7.1146","0.09%"
"Sep 06, 2019","7.1157","7.1461","7.1576","7.1126","-0.46%"
"Sep 05, 2019","7.1485","7.1426","7.1565","7.1235","0.03%"
"Sep 04, 2019","7.1460","7.1819","7.1819","7.1460","-0.46%"
"Sep 03, 2019","7.1789","7.1714","7.1847","7.1703","0.10%"
"Sep 02, 2019","7.1719","7.1547","7.1738","7.1547","0.21%"
"Aug 30, 2019","7.1568","7.1459","7.1575","7.1392","0.17%"
"Aug 29, 2019","7.1445","7.1634","7.1715","7.1382","-0.29%"
"Aug 28, 2019","7.1653","7.1618","7.1701","7.1551","0.04%"
"Aug 27, 2019","7.1623","7.1434","7.1708","7.1434","0.16%"
"Aug 26, 2019","7.1512","7.1359","7.1534","7.1349","0.78%"
"Aug 23, 2019","7.0960","7.0893","7.1017","7.0731","0.17%"
"Aug 22, 2019","7.0837","7.0601","7.0939","7.0601","0.29%"
"Aug 21, 2019","7.0632","7.0594","7.0669","7.0499","0.04%"
"Aug 20, 2019","7.0605","7.0495","7.0686","7.0495","0.14%"
"Aug 19, 2019","7.0507","7.0386","7.0514","7.0381","0.11%"
"Aug 16, 2019","7.0428","7.0362","7.0472","7.0359","0.13%"
"Aug 15, 2019","7.0340","7.0273","7.0433","7.0169","0.14%"
"Aug 14, 2019","7.0244","7.0205","7.0292","7.0105","-0.27%"
"Aug 13, 2019","7.0435","7.0587","7.0724","7.0434","-0.21%"
"Aug 12, 2019","7.0582","7.0603","7.0693","7.0537","-0.06%"
"Aug 09, 2019","7.0624","7.0438","7.0624","7.0438","0.25%"
"Aug 08, 2019","7.0451","7.0588","7.0588","7.0363","-0.21%"
"Aug 07, 2019","7.0602","7.0353","7.0643","7.0298","0.48%"
"Aug 06, 2019","7.0265","7.0509","7.0604","7.0160","-0.34%"
"Aug 05, 2019","7.0508","7.0176","7.0564","7.0150","1.59%"
"Aug 02, 2019","6.9405","6.8985","6.9504","6.8985","0.61%"
"Aug 01, 2019","6.8986","6.8837","6.9065","6.8837","0.21%"
"Jul 31, 2019","6.8841","6.8857","6.8888","6.8777","-0.01%"
"Jul 30, 2019","6.8845","6.8904","6.8933","6.8754","-0.13%"
"Jul 29, 2019","6.8934","6.8792","6.8958","6.8759","0.21%"
"Jul 26, 2019","6.8792","6.8707","6.8818","6.8707","0.10%"
"Jul 25, 2019","6.8726","6.8689","6.8777","6.8665","0.00%"
"Jul 24, 2019","6.8725","6.8794","6.8840","6.8676","-0.10%"
"Jul 23, 2019","6.8792","6.8808","6.8846","6.8742","-0.03%"
"Jul 22, 2019","6.8811","6.8820","6.8834","6.8754","-0.01%"
"Jul 19, 2019","6.8821","6.8773","6.8823","6.8712","0.03%"
"Jul 18, 2019","6.8801","6.8712","6.8823","6.8712","0.09%"
"Jul 17, 2019","6.8736","6.8752","6.8835","6.8720","-0.04%"
"Jul 16, 2019","6.8763","6.8779","6.8798","6.8706","-0.02%"
"Jul 15, 2019","6.8777","6.8804","6.8830","6.8700","-0.05%"
"Jul 12, 2019","6.8808","6.8694","6.8820","6.8682","0.15%"
